buyer_address,eth_price,usd_price,seller_address,event_date,token_id,transaction_hash,name
0x91338ccfb8c0adb7756034a82008531d7713009d,59.9,194171.84,0x1593110441ab4c5f2c133f21b0743b2b43e297cb,2022-01-14,1139,0x5f9f302686a496329d589882b177cfc5f2c3d1ab0e7f32c47aad0d17df8f816e,"CryptoPunk #1139"
0xafa796c9de9b22b46f0dc1922fe017582c5e10b5,63.95,207300.32,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2022-01-14,3874,0x06d78978e335a6f3e2e3495bba34a162fcb5b17310a933fb2ca20e61ed13a6a4,"CryptoPunk #3874"
0x0000000000000000000000000000000000000000,50,162080,0xad4fa8a3af05080e6970aca4768d2be5f213c62d,2022-01-14,7969,0x443a2efe5b9a64e36ff3f017c23dc48fede6cf0f9ffd8cbdf4b19964e17e5ad5,"CryptoPunk #7969"
0x3e8faf5b3a4ef575a329f8c976ff27f286ab2643,67.95,220266.72,0x44a3ccddccae339d05200a8f4347f83a58847e52,2022-01-14,5231,0x41d38012499bd318835c35c89d9568793de0889e2962c0b4637b1c8a59dd9947,"CryptoPunk #5231"
0x0000000000000000000000000000000000000000,59,191254.4,0xfe31364ef9e04775be662eb9e112c752bad04760,2022-01-14,3193,0x5b6a81a42cb2dfd7662b0282d7d23465c628f2329a21ff0c51b967d77f94e331,"CryptoPunk #3193"
0x0000000000000000000000000000000000000000,82,265811.2,0x6f4a2d3a4f47f9c647d86c929755593911ee91ec,2022-01-14,3961,0x99efb4bfd3e841946c66c2291521209db01e5866113524049b3b857c79b95227,"CryptoPunk #3961"
0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,68.88,232349.46,0x6611fe71c233e4e7510b2795c242c9a57790b376,2022-01-13,9056,0x9940791875fd5389a8dcb76aed80e06f11c5f486d27961c00cb360d765eba67b,"CryptoPunk #9056"
0x0000000000000000000000000000000000000000,60,202395,0x74dacd80d9b67912cb957966465ccc81e62ccc4f,2022-01-13,8335,0xfc1a9b93ac23e8e95de42bc6be8aff6ae45d8630f4d5d4cc3fa8be7a7eb8e9c7,"CryptoPunk #8335"
0xc66d5be823969895ec61ed3e4b81af4a208f4b7c,62.97,204075.0651,0x60e23da7a0b229902da892ddd6a839382eab04ca,2022-01-12,2354,0xa1cb3654bdcdf6e06e91bd7c932cdd357966cdabaa6a5a676d575d1b86886a2c,"CryptoPunk #2354"
0x91338ccfb8c0adb7756034a82008531d7713009d,60.95,197528.5885,0x1919db36ca2fa2e15f9000fd9cdc2edcf863e685,2022-01-12,1915,0x9ec598e0f82039d491b932ba267e67b40a88c7e4ad32091e2875119ed2eb1637,"CryptoPunk #1915"
